metric,sex,percentile,age,value
almi,female,97,18.069099756690996,8.05478958277012
almi,female,97,18.516788321167883,8.073212980485216
almi,female,97,18.964476885644768,8.091636378200315
almi,female,97,19.412165450121652,8.107756851201026
almi,female,97,19.85985401459854,8.123877324201736
almi,female,97,20.307542579075424,8.142300721916836
almi,female,97,20.75523114355231,8.158421194917546
almi,female,97,21.202919708029196,8.176844592632644
almi,female,97,21.65060827250608,8.190662140918967
almi,female,97,22.098296836982968,8.204479689205291
almi,female,97,22.545985401459852,8.220600162206003
almi,female,97,22.99367396593674,8.229811861063553
almi,female,97,23.441362530413624,8.241326484635488
almi,female,97,23.88905109489051,8.24823525877865
almi,female,97,24.336739659367396,8.252841108207424
almi,female,97,24.78442822384428,8.262052807064974
almi,female,97,25.232116788321168,8.262052807064974
almi,female,97,25.679805352798052,8.268961581208135
almi,female,97,26.12749391727494,8.271264505922522
almi,female,97,26.575182481751824,8.271264505922522
almi,female,97,27.02287104622871,8.271264505922522
almi,female,97,27.470559610705596,8.266658656493748
almi,female,97,27.91824817518248,8.262052807064974
almi,female,97,28.365936739659368,8.262052807064974
almi,female,97,28.813625304136252,8.255144032921812
almi,female,97,29.261313868613136,8.252841108207424
almi,female,97,29.709002433090024,8.252841108207424
almi,female,97,30.15669099756691,8.243629409349875
almi,female,97,30.604379562043796,8.243629409349875
almi,female,97,31.05206812652068,8.243629409349875
almi,female,97,31.499756690997565,8.243629409349875
almi,female,97,31.947445255474452,8.252841108207424
almi,female,97,32.39513381995134,8.252841108207424
almi,female,97,32.842822384428224,8.262052807064974
almi,female,97,33.29051094890511,8.27356743063691
almi,female,97,33.73819951338199,8.285082054208846
almi,female,97,34.18588807785888,8.305808376638332
almi,female,97,34.63357664233577,8.324231774353429
almi,female,97,35.08126520681265,8.344958096782914
almi,female,97,35.52895377128954,8.367987343926789
almi,female,97,35.97664233576642,8.39101659107066
almi,female,97,36.424330900243305,8.418651687643308
almi,female,97,36.872019464720196,8.443983859501568
almi,female,97,37.31970802919708,8.46701310664544
almi,female,97,37.767396593673965,8.4923452785037
almi,female,97,38.21508515815085,8.51767745036196
almi,female,97,38.66277372262773,8.540706697505833
almi,female,97,39.110462287104625,8.566038869364093
almi,female,97,39.55815085158151,8.591371041222352
almi,female,97,40.00583941605839,8.614400288366227
almi,female,97,40.45352798053528,8.635126610795712
almi,female,97,40.90121654501216,8.653550008510809
almi,female,97,41.34890510948905,8.66967048151152
almi,female,97,41.79659367396594,8.683488029797843
almi,female,97,42.24428223844282,8.69500265336978
almi,female,97,42.691970802919705,8.701911427512943
almi,female,97,43.13965936739659,8.708820201656103
almi,female,97,43.58734793187348,8.713426051084879
almi,female,97,44.035036496350365,8.713426051084879
almi,female,97,44.48272506082725,8.713426051084879
almi,female,97,44.93041362530413,8.706517276941717
almi,female,97,45.378102189781025,8.704214352227329
almi,female,97,45.82579075425791,8.69500265336978
almi,female,97,46.27347931873479,8.690396803941006
almi,female,97,46.72116788321168,8.683488029797843
almi,female,97,47.16885644768856,8.674276330940295
almi,female,97,47.61654501216545,8.667367556797133
almi,female,97,48.06423357664234,8.655852933225198
almi,female,97,48.51192214111922,8.648944159082035
almi,female,97,48.959610705596106,8.639732460224486
almi,female,97,49.40729927007299,8.632823686081323
almi,female,97,49.85498783454988,8.621309062509388
almi,female,97,50.302676399026765,8.616703213080612
almi,female,97,50.75036496350365,8.607491514223064
almi,female,97,51.198053527980534,8.600582740079902
almi,female,97,51.64574209245742,8.593673965936741
almi,female,97,52.09343065693431,8.584462267079191
almi,female,97,52.54111922141119,8.575250568221641
almi,female,97,52.98880778588808,8.568341794078481
almi,female,97,53.43649635036496,8.559130095220931
almi,female,97,53.884184914841846,8.554524245792157
almi,female,97,54.33187347931874,8.547615471648996
almi,female,97,54.77956204379562,8.538403772791446
almi,female,97,55.227250608272506,8.531494998648284
almi,female,97,55.67493917274939,8.524586224505121
almi,female,97,56.122627737226274,8.519980375076347
almi,female,97,56.570316301703166,8.510768676218799
almi,female,97,57.01800486618005,8.503859902075636
almi,female,97,57.465693430656934,8.50155697736125
almi,female,97,57.91338199513382,8.4923452785037
almi,female,97,58.3610705596107,8.4923452785037
almi,female,97,58.808759124087594,8.487739429074926
almi,female,97,59.25644768856448,8.48313357964615
almi,female,97,59.70413625304136,8.48313357964615
almi,female,97,60.151824817518246,8.487739429074926
almi,female,97,60.59951338199513,8.4923452785037
almi,female,97,61.04720194647202,8.4923452785037
almi,female,97,61.494890510948906,8.494648203218087
almi,female,97,61.94257907542579,8.50155697736125
almi,female,97,62.390267639902675,8.503859902075636
almi,female,97,62.83795620437956,8.510768676218799
almi,female,97,63.28564476885645,8.51767745036196
almi,female,97,63.733333333333334,8.519980375076347
almi,female,97,64.18102189781021,8.52688914921951
almi,female,97,64.6287104622871,8.533797923362672
almi,female,97,65.076399026764,8.538403772791446
almi,female,97,65.52408759124089,8.547615471648996
almi,female,97,65.97177615571776,8.549918396363381
almi,female,97,66.41946472019464,8.556827170506544
almi,female,97,66.86715328467153,8.566038869364093
almi,female,97,67.31484184914842,8.570644718792867
almi,female,97,67.76253041362531,8.579856417650417
almi,female,97,68.21021897810218,8.584462267079191
almi,female,97,68.65790754257907,8.593673965936741
almi,female,97,69.10559610705596,8.598279815365515
almi,female,97,69.55328467153285,8.605188589508677
almi,female,97,70.00097323600974,8.612097363651838
almi,female,97,70.4486618004866,8.612097363651838
almi,female,97,70.8963503649635,8.621309062509388
almi,female,97,71.34403892944039,8.621309062509388
almi,female,97,71.79172749391728,8.621309062509388
almi,female,97,72.23941605839417,8.621309062509388
